Market,Filled Type,Filled Quantity,Filled Price,Order Price,Fee Rate,Trading Fee,feeCoin,ExecFeeV2,Direction,Order Type,Trasaction ID,Order No.,Transaction Time(UTC+0)
BTCUSDT,Trade,0.017,109041,108036.2,5.5E-4,1.01953335,USDT,1.01953335,Short,Market, 6a46e712, 65458496,04:26 2025-10-30
BTCUSDT,Trade,0.005,110262.5,111371.7,5.5E-4,0.30322188,USDT,0.30322188,Long,Market, a87c7298, fd18065e,00:29 2025-10-30
BTCUSDT,Trade,0.01,110262.5,111371.7,5.5E-4,0.60644375,USDT,0.60644375,Long,Market, e5e840fc, fd18065e,00:29 2025-10-30
BTCUSDT,Trade,0.001,110262.5,111371.7,5.5E-4,0.06064438,USDT,0.06064438,Long,Market, d68f1326, fd18065e,00:29 2025-10-30
BTCUSDT,Trade,0.001,110262.5,111371.7,5.5E-4,0.06064438,USDT,0.06064438,Long,Market, e0941c5a, fd18065e,00:29 2025-10-30
BTCUSDT,Trade,0.011,113187.5,112070,5.5E-4,0.68478438,USDT,0.68478438,Short,Market, 734039fa, a3421062,08:33 2025-10-29
BTCUSDT,Trade,0.001,113187.5,112070,5.5E-4,0.06225313,USDT,0.06225313,Short,Market, 69fcabe5, a3421062,08:33 2025-10-29
BTCUSDT,Trade,0.001,113187.5,112070,5.5E-4,0.06225313,USDT,0.06225313,Short,Market, 5d83125c, a3421062,08:33 2025-10-29
BTCUSDT,Trade,0.004,113187.5,112070,5.5E-4,0.2490125,USDT,0.2490125,Short,Market, 187b4d2b, a3421062,08:33 2025-10-29
BTCUSDT,Trade,0.005,113296.5,114429.4,5.5E-4,0.31156538,USDT,0.31156538,Long,Market, c0fb4c0e, e2c2e414,08:23 2025-10-29
BTCUSDT,Trade,0.001,113296.5,114429.4,5.5E-4,0.06231308,USDT,0.06231308,Long,Market, 542ec1ab, e2c2e414,08:23 2025-10-29
BTCUSDT,Trade,0.001,113296.5,114429.4,5.5E-4,0.06231308,USDT,0.06231308,Long,Market, 3023297e, e2c2e414,08:23 2025-10-29
BTCUSDT,Trade,0.001,113296.5,114429.4,5.5E-4,0.06231308,USDT,0.06231308,Long,Market, 969fd771, e2c2e414,08:23 2025-10-29
BTCUSDT,Trade,0.001,113296.5,114429.4,5.5E-4,0.06231308,USDT,0.06231308,Long,Market, f287d1a1, e2c2e414,08:23 2025-10-29
BTCUSDT,Trade,0.003,113296.5,114429.4,5.5E-4,0.18693923,USDT,0.18693923,Long,Market, 00f0b589, e2c2e414,08:23 2025-10-29
BTCUSDT,Trade,0.005,113296.5,114429.4,5.5E-4,0.31156538,USDT,0.31156538,Long,Market, e7a0e6bf, e2c2e414,08:23 2025-10-29
ETHFIUSDT,Trade,1342.0,0.9463,1.0279,5.5E-4,0.69846403,USDT,0.69846403,Long,Market, a63ada7a, 45b472a0,22:48 2025-10-28
ETHFIUSDT,Trade,5.9,0.9462,1.0279,5.5E-4,0.00307042,USDT,0.00307042,Long,Market, c5b2435e, 45b472a0,22:48 2025-10-28
ETHFIUSDT,Trade,196.0,0.9345,0.8672,5.5E-4,0.1007391,USDT,0.1007391,Short,Market, ca0c0b2e, 5c839037,22:16 2025-10-28
ETHFIUSDT,Trade,227.4,0.9345,0.8672,5.5E-4,0.11687792,USDT,0.11687792,Short,Market, 41f0b075, 5c839037,22:16 2025-10-28
ETHFIUSDT,Trade,153.9,0.9345,0.8672,5.5E-4,0.07910076,USDT,0.07910076,Short,Market, 9208c8e4, 5c839037,22:16 2025-10-28
ETHFIUSDT,Trade,308.5,0.9345,0.8672,5.5E-4,0.15856129,USDT,0.15856129,Short,Market, 617aebf1, 5c839037,22:16 2025-10-28
ETHFIUSDT,Trade,276.9,0.9345,0.8672,5.5E-4,0.14231968,USDT,0.14231968,Short,Market, 7b9984d5, 5c839037,22:16 2025-10-28
ETHFIUSDT,Trade,8.1,0.9345,0.8672,5.5E-4,0.0041632,USDT,0.0041632,Short,Market, f2b2be47, 5c839037,22:16 2025-10-28
ETHFIUSDT,Trade,141.0,0.9346,0.8672,5.5E-4,0.07247823,USDT,0.07247823,Short,Market, 0f566e6c, 5c839037,22:16 2025-10-28
ETHFIUSDT,Trade,8.1,0.9346,0.8672,5.5E-4,0.00416365,USDT,0.00416365,Short,Market, b8c57d3a, 5c839037,22:16 2025-10-28
ETHFIUSDT,Trade,5.9,0.9346,0.8672,5.5E-4,0.00303278,USDT,0.00303278,Short,Market, de3917ca, 5c839037,22:16 2025-10-28
ETHFIUSDT,Trade,8.1,0.9346,0.8672,5.5E-4,0.00416365,USDT,0.00416365,Short,Market, f776ce3d, 5c839037,22:16 2025-10-28
ETHFIUSDT,Trade,8.1,0.9347,0.8672,5.5E-4,0.00416409,USDT,0.00416409,Short,Market, bce64307, 5c839037,22:16 2025-10-28
ETHFIUSDT,Trade,5.9,0.9348,0.8672,5.5E-4,0.00303343,USDT,0.00303343,Short,Market, e642b004, 5c839037,22:16 2025-10-28
ETHUSDT,Trade,0.29,4030.47,4109.01,5.5E-4,0.64285997,USDT,0.64285997,Long,Market, 66f74a9f, 3209aa36,11:42 2025-10-26
ETHUSDT,Funding,0.29,3950.24,0,-1.0E-4,-0.11455696,USDT,-0.11455696,Short,--, 833e1662, 764aea2f,08:00 2025-10-26
ETHUSDT,Funding,0.29,3952.01,0,-1.0E-4,-0.11460829,USDT,-0.11460829,Short,--, 86a77252, 26e417de,00:00 2025-10-26
ETHUSDT,Funding,0.29,3931.8,0,-1.0E-4,-0.1140222,USDT,-0.1140222,Short,--, b125d1a8, 8d0e0e24,16:00 2025-10-25
ETHUSDT,Funding,0.29,3927.19,0,-7.603E-5,-0.08658944,USDT,-0.08658944,Short,--, e1a57943, 360e1e87,08:00 2025-10-25
ETHUSDT,Funding,0.29,3933.8,0,-1.0E-4,-0.1140802,USDT,-0.1140802,Short,--, b38b4fa7, c5189c98,00:00 2025-10-25
ETHFIUSDT,Trade,400.0,1.0254,1.1198,5.5E-4,0.225588,USDT,0.225588,Long,Market, 737f98a3, 06e60e99,22:23 2025-10-24
ETHFIUSDT,Trade,280.7,1.0254,1.1198,5.5E-4,0.15830638,USDT,0.15830638,Long,Market, 55dd00c8, 06e60e99,22:23 2025-10-24
ETHFIUSDT,Trade,99.7,1.0254,1.1198,5.5E-4,0.05622781,USDT,0.05622781,Long,Market, 9173862e, 06e60e99,22:23 2025-10-24
ETHFIUSDT,Trade,5.4,1.0254,1.1198,5.5E-4,0.00304544,USDT,0.00304544,Long,Market, 4f804c3c, 06e60e99,22:23 2025-10-24
ETHFIUSDT,Trade,7.4,1.0254,1.1198,5.5E-4,0.00417338,USDT,0.00417338,Long,Market, 93c13543, 06e60e99,22:23 2025-10-24
ETHFIUSDT,Trade,196.5,1.0254,1.1198,5.5E-4,0.11082011,USDT,0.11082011,Long,Market, 32dfae57, 06e60e99,22:23 2025-10-24
ETHFIUSDT,Trade,91.6,1.0254,1.1198,5.5E-4,0.05165966,USDT,0.05165966,Long,Market, 4f653b9c, 06e60e99,22:23 2025-10-24
ETHFIUSDT,Trade,146.2,1.0254,1.1198,5.5E-4,0.08245242,USDT,0.08245242,Long,Market, 0baba354, 06e60e99,22:23 2025-10-24
ETHFIUSDT,Trade,85.9,1.0254,1.1198,5.5E-4,0.04844503,USDT,0.04844503,Long,Market, 735f743a, 06e60e99,22:23 2025-10-24
